"ID","Device","Custom fields","Status","Order price","Price","Reply","Comments","Service","Order date","Reply date"
"11100","D70CA2E6A402E","","Rejected","$10.00","$0.00","Copy ecid from tool","","","2023-05-25 16:47:44","2023-05-25 16:51:06"
"11101","0xd70ca2e6a402e","","Rejected","$10.00","$0.00","Copy ecid from tool","","","2023-05-25 17:00:31","2023-05-25 17:05:05"
"11102","DMPF601HNTJ3","","Rejected","$25.00","$0.00","iPad Pro 12.9-inch (4th Generation) Wi-Fi + Cellular | Device Not Supported! Or Not Same Model","","","2023-05-25 17:05:49","2023-05-25 17:09:06"
"11135","C39TC9MVHFXW","","Success","$35.00","$35.00","SUCCESS","","","2023-05-27 22:14:00","2023-05-27 22:16:06"
"12002","355843084384894","","Rejected","$65.00","$0.00","Device Not Checked By Tool ReferenceID 1261","","","2023-05-29 00:36:44","2023-05-29 00:38:04"
"12290","GG7XR806JF8J","","Success","$100.00","$100.00","SERIAL NUMBER: GG7XR806JF8J DEVICE: iPad (6th generation) 32GB Space Gray A1893 WiFi Only FIND MY DEVICE: OFF","","","2023-06-12 05:17:56","2023-06-12 05:21:05"
"12335","350033887499041","","Success","$0.99","$0.99","IMEI: 350033887499041 - Status: Not_ATT","","AT&T Auto API iPhone / Generic Clean Unlock + Status Checker Service (IMEI)","2023-06-13 09:46:11","2023-06-13 09:54:09"
"12350","358824784182744","","Success","$0.99","$0.99","IMEI: 358824784182744 - Status: Unpaid_Bills","","AT&T Auto API iPhone / Generic Clean Unlock + Status Checker Service (IMEI)","2023-06-14 00:32:16","2023-06-14 01:27:04"
"12389","k26y3r63yv","","Success","$9.85","$9.85","DMPJF7PUDVGG|14:10:9F:95:A0:33|14:10:9F:95:A0:34 ok","","iPad BT+Wifi+SN Service iPad 7 2019/iPad 6 Gen/iPad 7 Gen/iPad 10.5 /iPad 9.7/iPad 12.9 1 Gen 2 Gen/Air 2 A8 - A10X Supported","2023-06-15 19:04:54","2023-06-15 19:08:08"
"12392","K26Y3R63YV","","Success","$9.85","$9.85","DMPJG239DVGJ|14:10:9F:9C:1D:12|14:10:9F:9C:1D:13 ok","","iPad BT+Wifi+SN Service iPad 7 2019/iPad 6 Gen/iPad 7 Gen/iPad 10.5 /iPad 9.7/iPad 12.9 1 Gen 2 Gen/Air 2 A8 - A10X Supported","2023-06-15 19:14:58","2023-06-15 19:18:08"
"12556","353909593310837","","Success","$0.01","$0.01","Model: IPHONE 12 PRO (A2341)","","ICLOUD STATUS & FMI CHECKER with IMEI IPHONE & IPADS","2023-06-24 02:12:03","2023-06-24 02:13:08"
"12581","K26Y3R63YV","","Success","$9.85","$9.85","DLXKVL6WF196|F4:F9:51:42:27:DA|F4:F9:51:42:27:DB ok","","iPad BT+Wifi+SN Service iPad 7 2019/iPad 6 Gen/iPad 7 Gen/iPad 10.5 /iPad 9.7/iPad 12.9 1 Gen 2 Gen/Air 2 A8 - A10X Supported","2023-06-25 22:48:56","2023-06-25 22:52:04"
"12669","353133100049537","","Success","$0.99","$0.99","IMEI: 353133100049537 - Status: Lost_or_Stolen","","AT&T Auto API iPhone / Generic Clean Unlock + Status Checker Service (IMEI)","2023-06-29 01:57:28","2023-06-30 07:12:05"
"12670","357266092980768","","Success","$0.99","$0.99","IMEI: 357266092980768 - Status: Lost_or_Stolen","","AT&T Auto API iPhone / Generic Clean Unlock + Status Checker Service (IMEI)","2023-06-29 01:57:28","2023-06-30 07:12:13"
"12708","K26Y3R63YV","","Rejected","$170.00","$0.00","Unable to turn off fmi! error 0x1","","","2023-07-01 15:15:28","2023-07-01 15:18:04"
"12710","K26Y3R63YV","","Rejected","$170.00","$0.00","Unable to turn off fmi! error 0x1","","","2023-07-01 15:48:26","2023-07-01 15:51:04"
"12722","k26y3r63yv","","Rejected","$170.00","$0.00","Unable to turn off fmi! error 0x1 Service is down. for the moment","","","2023-07-01 19:24:04","2023-07-01 21:30:43"
"12754","F2LRNCHHGRWQ","","Success","$0.30","$0.30","Model: iPhone 6s Plus 16GB Rose Gold MM-TD [A1687] [iPhone8,2] IMEI: 353333078238571 MEID: 35333307823857 Serial Number: F2LRNCHHGRWQ Warranty Status: Out Of Warranty Estimated Purchase Date: 2018-02-01 Demo Unit: No Loaner Device: No Replaced Device: No Replacement Device: No Refurbished Device: No Locked Carrier: 10 - Unlock. Sim-Lock Status: Unlocked","","Simlock Checker + carrier fast (IMEI/SN)","2023-07-03 22:01:36","2023-07-03 22:03:05"
"12755","F2LRNCHHGRWQ","","Success","$0.35","$0.35","Model: iPhone 6S Plus 16GB Rose Gold A1687 Global IMEI Number: 353333078238571 MEID Number: 35333307823857 Serial Number: F2LRNCHHGRWQ Manufacture Date: 11 May 2016 Unit Age: 7 years, 1 month and 23 days Assembled In: Foxconn Zhengzhou, China Estimated Purchase Date: 1 Feb 2018 Blacklist Status: Clean Blacklist Records: 0 Next Activation Policy ID: 10 Locked Carrier: Unlock SIM-Lock Status: Unlocked","","iPhone Carrier + Simlock Checker Super Fast Bulk Supported","2023-07-03 22:10:34","2023-07-03 22:14:08"
"12759","DX3YD9B6HG6W","","Rejected","$27.00","$0.00","PLEASE CHECK YOUR DEVICE BY TOOL AND RE ORDER AGAIN!","IPHONE 7","LPro Hello Activator iOS16.x iPhone 7 / 7 Plus / iPad (6/7/PRO10.5/PRO12.9-2) - with calls","2023-07-04 00:37:50","2023-07-04 00:40:10"
"12980","0x000000b62d3a8424","","Success","$6.00","$6.00","{""code"":200,""msg"":""Success Registered""}","iPad Air 1st Gen Jailbroken","Frpfile Hello iCloud Bypass iPhones & iPads All Models A9 A10 A11 iOS15-18 WIFI ( WIN )","2023-07-14 06:40:19","2023-07-14 06:43:07"
"13048","353909593310837","","Success","$0.01","$0.01","Model: IPHONE 12 PRO (A2341)IMEI: 353909593310837Find My iPhone: OFF","","ICLOUD STATUS & FMI CHECKER with IMEI IPHONE & IPADS","2023-07-18 02:56:26","2023-07-18 02:57:11"
"13091","G6TF9HFR0D82","","Success","$50.00","$50.00","INFO: DEVICE G6TF9HFR0D82 WAS SUCESSFULLY RELOCKED!! UNLOCK CODE: EAQY2-V7QPD-4FT3-QHWX-D2EL-EV24","","","2023-07-18 19:24:42","2023-07-18 19:28:09"
"13116","64defe766dd76d0fd9d5012ae0e278a06831112c","","Rejected","$5.00","$0.00","","","","2023-07-19 15:07:15","2023-07-19 15:10:10"
"13119","DMPLFEH9FK14","","Success","$8.00","$8.00","MODEL: iPad Air WIFI 16GB Silver Serial Number: DMPLFEH9FK14 Serial Registred Successfully","","","2023-07-19 15:15:59","2023-07-19 15:16:05"
